announced_date,region,number_of_facilities,total_number_of_quarantine_people,total_covid_confirmed_cases,new_positive_within_24hrs,deceased,new_deceased,ref
2020-04-28,Chin,36,201,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2022%20(29-4-2020)_.pdf
2020-04-29,Yangon,56,1348,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Mandalay,674,3760,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Bago,451,2598,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Shan (North),289,2861,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Magway,2306,6637,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Kayin,342,640,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Mon,29,330,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Ayeyarwady,1053,4776,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Shan (East),39,1116,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Kayah,15,228,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Shan (South),155,778,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Nay Pyi Taw,19,1226,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Sagaing,1992,7806,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Rakhine,187,1730,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Tanintharyi,228,684,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Kachin,492,5228,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-29,Chin,36,206,,,,,https://mohs.gov.mm/ckfinder/connector?command=Proxy&lang=en&type=Main&currentFolder=%2FPublications%2FCOVID-19%2FApril_2020%2F&hash=a6a1c319429b7abc0a8e21dc137ab33930842cf5&fileName=Sitrep%2023%20(30-4-2020).pdf
2020-04-30,Yangon,47,986,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Mandalay,701,4057,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Bago,439,2505,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Shan (North),294,2617,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Magway,2306,6778,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Kayin,346,428,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Mon,29,320,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Ayeyarwady,1115,4879,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Shan (East),39,1088,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Shan (South),155,727,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Kayah,15,238,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Sagaing,2304,8299,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Nay Pyi Taw,19,1236,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Rakhine,187,1730,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Tanintharyi,134,754,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Kachin,501,5500,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-04-30,Chin,36,198,,,,,http://mohs.gov.mm/su/drqw2193DR
2020-01-05,Yangon,19,1270,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Mandalay,754,4415,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Bago,408,2324,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Shan (North),297,2423,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Magway,2306,6778,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Kayin,346,392,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Mon,25,306,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Ayeyarwady,1219,4699,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Shan (East),41,980,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Shan (South),134,859,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Kayah,15,277,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Sagaing,2078,8639,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Nay Pyi Taw,39,1072,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Rakhine,192,1802,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Tanintharyi,114,701,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Kachin,509,5519,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-01-05,Chin,18,257,,,,,http://mohs.gov.mm/su/fayu2884FA
2020-02-05,Yangon,41,958,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Mandalay,776,4535,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Bago,408,2324,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Shan (North),311,2371,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Magway,2306,6778,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Kayin,367,231,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Mon,23,283,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Ayeyarwady,1053,4773,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Shan (East),39,480,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Shan (South),111,711,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Kayah,15,263,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Sagaing,2012,8660,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Nay Pyi Taw,19,1305,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Rakhine,209,2036,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Tanintharyi,134,807,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Kachin,518,5755,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-02-05,Chin,18,315,,,,,http://mohs.gov.mm/su/jldv4443JL
2020-03-05,Yangon,43,1144,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Mandalay,794,4840,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Bago,421,2451,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Shan (North),311,2371,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Magway,2306,6778,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Kayin,366,275,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Mon,22,271,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Ayeyarwady,1063,4885,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Shan (East),39,495,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Shan (South),110,702,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Kayah,18,275,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Sagaing,2011,9039,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Nay Pyi Taw,19,1339,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Rakhine,227,2204,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Tanintharyi,134,743,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Kachin,524,5954,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-03-05,Chin,25,294,,,,,http://mohs.gov.mm/su/xhdd9257XH
2020-04-05,Yangon,45,1102,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Mandalay,845,5229,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Bago,442,2564,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Shan (North),320,2441,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Magway,2470,6975,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Kayin,65,317,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Mon,21,218,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Ayeyarwady,1137,5176,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Shan (East),39,582,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Shan (South),110,826,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Kayah,17,271,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Sagaing,2021,9467,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Nay Pyi Taw,19,1365,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Rakhine,243,2378,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Tanintharyi,134,808,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Kachin,533,6227,,,,,http://mohs.gov.mm/su/civh2015CI
2020-04-05,Chin,25,308,,,,,http://mohs.gov.mm/su/civh2015CI
2020-05-05,Yangon,45,1102,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Mandalay,845,5229,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Bago,442,2564,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Shan (North),320,2441,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Magway,2470,6975,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Kayin,65,317,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Mon,21,218,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Ayeyarwady,1137,5176,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Shan (East),39,582,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Shan (South),110,826,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Kayah,17,271,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Sagaing,2021,9467,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Nay Pyi Taw,19,1365,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Rakhine,243,2378,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Tanintharyi,134,808,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Kachin,533,6227,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-05-05,Chin,25,308,,,,,http://mohs.gov.mm/su/gxuk3154GX
2020-06-05,Yangon,46,1156,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Mandalay,964,6123,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Bago,474,2695,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Shan (North),323,2529,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Magway,2516,8025,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Kayin,73,302,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Mon,23,199,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Ayeyarwady,1259,5840,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Shan (East),39,610,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Shan (South),108,884,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Kayah,17,286,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Sagaing,2059,10177,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Nay Pyi Taw,19,1454,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Rakhine,243,2378,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Tanintharyi,134,832,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Kachin,548,6906,,,,,http://mohs.gov.mm/su/recz7153RE
2020-06-05,Chin,19,343,,,,,http://mohs.gov.mm/su/recz7153RE
2020-07-05,Yangon,44,1088,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Mandalay,1017,6304,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Bago,491,2901,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Shan (North),323,2529,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Mon,24,201,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Magway,2546,8899,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Kayin,77,315,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Ayeyarwady,1300,6022,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Shan (East),39,675,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Shan (South),108,932,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Sagaing,2058,10456,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Kayah,18,292,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Nay Pyi Taw,19,1489,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Tanintharyi,134,850,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Rakhine,324,2960,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Kachin,556,6822,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-07-05,Chin,19,352,,,,,http://mohs.gov.mm/su/ypmh9455YP
2020-08-05,Yangon,47,1425,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Mandalay,1060,6533,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Bago,488,3015,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Shan (North),326,2555,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Mon,27,206,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Magway,2549,9619,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Kayin,75,317,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Ayeyarwady,1397,6621,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Shan (East),39,680,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Shan (South),108,957,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Sagaing,2068,10622,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Kayah,18,295,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Nay Pyi Taw,19,1515,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Tanintharyi,134,923,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Rakhine,361,3209,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Kachin,559,6748,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-08-05,Chin,29,369,,,,,http://mohs.gov.mm/su/ctxv1893CT
2020-09-05,Yangon,48,1684,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Mandalay,1089,6970,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Bago,497,3152,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Shan (North),326,2598,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Mon,31,227,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Magway,2549,9619,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Kayin,78,323,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Ayeyarwady,1481,7335,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Shan (East),39,688,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Shan (South),108,996,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Sagaing,2069,10722,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Kayah,18,303,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Nay Pyi Taw,19,1536,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Tanintharyi,134,970,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Rakhine,399,3507,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Kachin,563,6766,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-09-05,Chin,30,394,,,,,http://mohs.gov.mm/su/cfwf1986CF
2020-10-05,Yangon,47,1803,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Mandalay,1077,7101,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Bago,509,3245,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Shan (North),326,2487,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Mon,35,265,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Magway,2661,10349,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Kayin,76,374,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Ayeyarwady,1493,7589,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Shan (East),39,713,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Shan (South),114,1018,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Sagaing,2069,10668,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Kayah,18,309,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Nay Pyi Taw,19,1560,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Tanintharyi,134,985,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Rakhine,438,3694,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Kachin,569,6723,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-10-05,Chin,30,379,,,,,http://mohs.gov.mm/su/pmjw6430PM
2020-11-05,Yangon,47,1955,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Mandalay,1067,7057,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Bago,522,3216,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Shan (North),326,2415,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Mon,37,258,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Magway,2661,10349,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Kayin,83,385,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Ayeyarwady,1540,7599,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Shan (East),39,426,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Shan (South),114,1044,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Sagaing,2069,10757,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Kayah,18,258,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Nay Pyi Taw,19,1561,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Tanintharyi,134,990,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Rakhine,465,3271,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Kachin,577,6697,,,,,http://mohs.gov.mm/su/diud2230DI
2020-11-05,Chin,31,384,,,,,http://mohs.gov.mm/su/diud2230DI
2020-12-05,Yangon,47,1955,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Mandalay,1118,7108,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Bago,522,3216,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Shan (North),206,1426,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Mon,36,246,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Magway,2685,10604,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Kayin,88,454,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Ayeyarwady,1540,7599,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Shan (East),39,426,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Shan (South),114,1069,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Sagaing,2076,10648,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Kayah,18,239,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Nay Pyi Taw,19,1453,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Tanintharyi,134,1040,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Rakhine,465,3271,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Kachin,583,6700,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-12-05,Chin,19,352,,,,,http://mohs.gov.mm/su/pgwi6200PG
2020-05-13,Yangon,45,1780,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Mandalay,1118,7036,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Bago,499,2895,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Shan (North),338,2560,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Mon,50,175,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Magway,2685,10604,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Kayin,86,510,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Ayeyarwady,1627,7406,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Shan (East),39,708,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Shan (South),113,1077,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Sagaing,2076,10445,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Kayah,18,237,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Nay Pyi Taw,19,1345,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Tanintharyi,134,1033,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Rakhine,519,3473,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Kachin,588,6629,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-13,Chin,34,372,,,,,http://mohs.gov.mm/su/pzpx6252PZ
2020-05-14,Yangon,46,1890,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Mandalay,1164,7035,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Bago,506,3088,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Shan (North),339,2641,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Mon,34,334,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Magway,2745,11323,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Kayin,103,606,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Ayeyarwady,1643,7377,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Shan (East),39,712,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Shan (South),113,1071,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Sagaing,2076,10205,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Kayah,18,218,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Nay Pyi Taw,19,1232,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Tanintharyi,134,996,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Rakhine,519,3594,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Kachin,589,6801,,,,,http://mohs.gov.mm/su/istt4067IS
2020-05-14,Chin,35,416,,,,,http://mohs.gov.mm/su/istt4067IS
